filename,No_DR,mild,moderate,proliferate_DR,severe
No_DR_386_png.rf.838b43a89d0eec3b62b1c64ffe447363.jpg,1,0,0,0,0
No_DR_379_png.rf.a6662d2563b7afd93cc1d1e1b90523ad.jpg,1,0,0,0,0
No_DR_44_png.rf.bfd6a111ef1c6484540dd2c76ba6235f.jpg,1,0,0,0,0
No_DR_384_png.rf.c148ad8d29f9343c133b29abdbeef510.jpg,1,0,0,0,0
No_DR_391_png.rf.c3c0ca53f504183da1f4b8b8770df676.jpg,1,0,0,0,0
No_DR_383_png.rf.c9cb4442d3acda6046a32ab65ed67849.jpg,1,0,0,0,0
No_DR_378_png.rf.e2d7b6cbba3afcb58c0d62b91e2866ac.jpg,1,0,0,0,0
No_DR_53_png.rf.f27d4f6a8f4bf035026f55d3222f7a27.jpg,1,0,0,0,0
No_DR_61_png.rf.0d4f30473aa79f1b3db08818b42544f5.jpg,1,0,0,0,0
No_DR_6_png.rf.0ef8096d39f47c3d5a48fdecb5995fc2.jpg,1,0,0,0,0
No_DR_56_png.rf.1ce535dcad3533afb9bb12ee6beb8707.jpg,1,0,0,0,0
No_DR_69_png.rf.1d3d86a3fa6eb023e8f1f853ed5fdacf.jpg,1,0,0,0,0
No_DR_79_png.rf.1f06736adaabb3500a9812a3e1b9f6ce.jpg,1,0,0,0,0
No_DR_67_png.rf.2f94277896d8cb7261c43e28b86de314.jpg,1,0,0,0,0
No_DR_360_png.rf.4ab96a5e99ea3fd690442b6b5a6d3f68.jpg,1,0,0,0,0
No_DR_358_png.rf.535143f1449a3841eaa80e2fa5bf72e3.jpg,1,0,0,0,0
No_DR_362_png.rf.5fff6a5d120753816e9fe4616e6be41e.jpg,1,0,0,0,0
No_DR_68_png.rf.73e9d663bbdd4470c3c305800c978b86.jpg,1,0,0,0,0
No_DR_355_png.rf.7ac3fdcc2b35e0ca91a7d1d5371cffda.jpg,1,0,0,0,0
No_DR_99_png.rf.85418c138820bb58f2b63cd959ac56be.jpg,1,0,0,0,0
No_DR_8_png.rf.b23b75888d93940ff09db13ad490b432.jpg,1,0,0,0,0
No_DR_329_png.rf.b320f9fdcd9a2917ff8fb6cf2f1ecc98.jpg,1,0,0,0,0
No_DR_55_png.rf.c5d307fbe7f5d1c3b876c1435e0b13a6.jpg,1,0,0,0,0
No_DR_359_png.rf.f61b81f1a9fd0e4d17562440fd1888bc.jpg,1,0,0,0,0
No_DR_97_png.rf.100b8e0a8005b001029ff4fff60790fb.jpg,1,0,0,0,0
No_DR_392_png.rf.13f8a09c4174179a394bf1a177952045.jpg,1,0,0,0,0
Proliferate_DR_103_png.rf.16c290d5f7919ed09c3a4c038da2b0bd.jpg,0,0,0,1,0
No_DR_390_png.rf.1a35bb7f2c2cf5b3d7b0ec8844ed495d.jpg,1,0,0,0,0
No_DR_9_png.rf.205e8eb20ed11703b2771739c3c18e2b.jpg,1,0,0,0,0
No_DR_88_png.rf.320de3ab97d87cb124cf5546c7baabcb.jpg,1,0,0,0,0
No_DR_384_png.rf.5711fc562c29a45f06fbbb202b3e0062.jpg,1,0,0,0,0
Proliferate_DR_100_png.rf.5d4c78aeabccca5dcaa3b855e894a28c.jpg,0,0,0,1,0
No_DR_387_png.rf.7fa6f3ff7522abb507c3515d3e1ea8b8.jpg,1,0,0,0,0
No_DR_4_png.rf.8285c4de8ef0b8416910762bc020747d.jpg,1,0,0,0,0
No_DR_380_png.rf.89f82eba2af4aa4c2838aa9263f30e85.jpg,1,0,0,0,0
No_DR_391_png.rf.968bb4db220e41131d990b188c9fa1d5.jpg,1,0,0,0,0
No_DR_386_png.rf.97ca7068c0d3778425438d6f404bfb94.jpg,1,0,0,0,0
No_DR_385_png.rf.9e4a4da17204fd2200fcd92baa12b0ab.jpg,1,0,0,0,0
No_DR_44_png.rf.9f454b2f4d4c93efc9ff913b0e170a75.jpg,1,0,0,0,0
No_DR_383_png.rf.cbb69f68d902e9b3e79b61a95143a67f.jpg,1,0,0,0,0
No_DR_91_png.rf.cc24ee270d7570e008ee85a8bab27cca.jpg,1,0,0,0,0
Proliferate_DR_101_png.rf.cdfee0ca581fabda15a28060130783f0.jpg,0,0,0,1,0
